s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Bear4.bmp,101,Go,50,"1,5"
stimuli/Bird7.bmp,101,Go,51,"1,5"
stimuli/Bird8.bmp,101,Go,52,"1,5"
stimuli/Buffalo3.bmp,101,Go,53,"1,5"
stimuli/Creature4.bmp,101,Go,54,"1,5"
stimuli/Deer1.bmp,101,Go,55,"1,5"
stimuli/Duiker1.bmp,101,Go,56,"1,5"
stimuli/Elephant3.bmp,101,Go,57,"1,5"
stimuli/Elephant8.bmp,101,Go,58,"1,5"
stimuli/Fox1.bmp,101,Go,59,"1,5"
stimuli/Giraffe3.bmp,101,Go,60,"1,5"
stimuli/Gorilla3.bmp,101,Go,61,"1,5"
stimuli/Hippo1.bmp,101,Go,62,"1,5"
stimuli/Ibis2.bmp,101,Go,63,"1,5"
stimuli/Koala4.bmp,101,Go,64,"1,5"
stimuli/Kudu1.bmp,101,Go,65,"1,5"
stimuli/Lion5.bmp,101,Go,66,"1,5"
stimuli/Lizard2.bmp,101,Go,67,"1,5"
stimuli/Meerkat1.bmp,101,Go,68,"1,5"
stimuli/PolarBear3.bmp,101,Go,69,"1,5"
stimuli/RedPanda2.bmp,101,Go,70,"1,5"
stimuli/RedPanda6.bmp,101,Go,71,"1,5"
stimuli/Rhino1.bmp,101,Go,72,"1,5"
stimuli/Rodent2.bmp,101,Go,73,"1,5"
stimuli/WhiteTiger1.bmp,101,Go,74,"1,5"
stimuli/WildDog1.bmp,101,Go,75,"1,5"
stimuli/Zebra4.bmp,101,Go,76,"1,5"
stimuli/Leopard12.bmp,101,Go,251,"1,5"
stimuli/Panda12.bmp,101,Go,251,"1,5"
stimuli/Jackal1.bmp,101,Go,251,"1,5"
