s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Bear3.bmp,101,Go,23,"1,5"
stimuli/Bear5.bmp,101,Go,24,"1,5"
stimuli/Bird1.bmp,101,Go,25,"1,5"
stimuli/Buffalo1.bmp,101,Go,26,"1,5"
stimuli/Creature3.bmp,101,Go,27,"1,5"
stimuli/Meerkat6.bmp,101,Go,28,"1,5"
stimuli/Elephant1.bmp,101,Go,29,"1,5"
stimuli/Flamingo5.bmp,101,Go,30,"1,5"
stimuli/Gazelle2.bmp,101,Go,31,"1,5"
stimuli/Giraffe2.bmp,101,Go,32,"1,5"
stimuli/Gorilla2.bmp,101,Go,33,"1,5"
stimuli/Koala2.bmp,101,Go,34,"1,5"
stimuli/Kudu2.bmp,101,Go,35,"1,5"
stimuli/Lemur4.bmp,101,Go,36,"1,5"
stimuli/Leopard3.bmp,101,Go,37,"1,5"
stimuli/Lioness1.bmp,101,Go,38,"1,5"
stimuli/Lizard4.bmp,101,Go,39,"1,5"
stimuli/Ostrich2.bmp,101,Go,40,"1,5"
stimuli/Panda2.bmp,101,Go,41,"1,5"
stimuli/Racoon1.bmp,101,Go,42,"1,5"
stimuli/RedPanda1.bmp,101,Go,43,"1,5"
stimuli/RedPanda4.bmp,101,Go,44,"1,5"
stimuli/Rhino3.bmp,101,Go,45,"1,5"
stimuli/Rodent1.bmp,101,Go,46,"1,5"
stimuli/Tiger2.bmp,101,Go,47,"1,5"
stimuli/Wolf1.bmp,101,Go,48,"1,5"
stimuli/Zebra1.bmp,101,Go,49,"1,5"
stimuli/Kangaroo6.bmp,101,Go,252,"1,5"
stimuli/Deer3.bmp,101,Go,252,"1,5"
stimuli/Manul2.bmp,101,Go,252,"1,5"
