s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/ArcticFox1.bmp,101,Go,77,"1,5"
stimuli/Bateng1.bmp,101,Go,78,"1,5"
stimuli/Bear2.bmp,101,Go,79,"1,5"
stimuli/Eland1.bmp,101,Go,80,"1,5"
stimuli/Elephant7.bmp,101,Go,81,"1,5"
stimuli/Flamingo1.bmp,101,Go,82,"1,5"
stimuli/Fox5.bmp,101,Go,83,"1,5"
stimuli/Giraffe1.bmp,101,Go,84,"1,5"
stimuli/Impala2.bmp,101,Go,85,"1,5"
stimuli/Lion3.bmp,101,Go,86,"1,5"
stimuli/Lizard1.bmp,101,Go,87,"1,5"
stimuli/Llama1.bmp,101,Go,88,"1,5"
stimuli/Monkey6.bmp,101,Go,89,"1,5"
stimuli/Mouse1.bmp,101,Go,90,"1,5"
stimuli/Nagila1.bmp,101,Go,91,"1,5"
stimuli/Okapi1.bmp,101,Go,92,"1,5"
stimuli/Orynx1.bmp,101,Go,93,"1,5"
stimuli/Peacock2.bmp,101,Go,94,"1,5"
stimuli/PolarBear1.bmp,101,Go,95,"1,5"
stimuli/PrarieDog1.bmp,101,Go,96,"1,5"
stimuli/RedPanda10.bmp,101,Go,97,"1,5"
stimuli/RedPanda17.bmp,101,Go,98,"1,5"
stimuli/Rhino8.bmp,101,Go,99,"1,5"
stimuli/Rhino10.bmp,101,Go,100,"1,5"
stimuli/Seal1.bmp,101,Go,100,"1,5"
stimuli/Sloth1.bmp,101,Go,100,"1,5"
stimuli/Tiger6.bmp,101,Go,103,"1,5"
stimuli/Kangaroo4.bmp,101,Go,250,"1,5"
stimuli/Squirrel5.bmp,101,Go,250,"1,5"
stimuli/Lion10.bmp,101,Go,250,"1,5"
