s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Addax1.bmp,101,Go,104,"1,5"
stimuli/Bear8.bmp,101,Go,105,"1,5"
stimuli/Bird6.bmp,101,Go,106,"1,5"
stimuli/Creature7.bmp,101,Go,107,"1,5"
stimuli/Elephant9.bmp,101,Go,108,"1,5"
stimuli/Elk1.bmp,101,Go,109,"1,5"
stimuli/Flamingo2.bmp,101,Go,116,"1,5"
stimuli/Fox4.bmp,101,Go,117,"1,5"
stimuli/Gemsbok1.bmp,101,Go,118,"1,5"
stimuli/Giraffe10.bmp,101,Go,119,"1,5"
stimuli/Hyena2.bmp,101,Go,120,"1,5"
stimuli/Lemur3.bmp,101,Go,121,"1,5"
stimuli/Lion1.bmp,101,Go,122,"1,5"
stimuli/Meerkat5.bmp,101,Go,123,"1,5"
stimuli/Monkey2.bmp,101,Go,124,"1,5"
stimuli/Panda3.bmp,101,Go,125,"1,5"
stimuli/Peacock3.bmp,101,Go,126,"1,5"
stimuli/Rabbit1.bmp,101,Go,127,"1,5"
stimuli/RedPanda13.bmp,101,Go,128,"1,5"
stimuli/RedPanda14.bmp,101,Go,129,"1,5"
stimuli/Rhino7.bmp,101,Go,130,"1,5"
stimuli/Sloth2.bmp,101,Go,131,"1,5"
stimuli/Squirrel2.bmp,101,Go,132,"1,5"
stimuli/Tiger1.bmp,101,Go,133,"1,5"
stimuli/Waterbuck3.bmp,101,Go,134,"1,5"
stimuli/Zebra2.bmp,101,Go,135,"1,5"
stimuli/Lizard3.bmp,101,Go,136,"1,5"
stimuli/Leopard10.bmp,101,Go,249,"1,5"
stimuli/Kangaroo5.bmp,101,Go,249,"1,5"
stimuli/Puffin1.bmp,101,Go,249,"1,5"
