s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Antelope1.bmp,101,Go,164,"1,5"
stimuli/Bear1.bmp,101,Go,165,"1,5"
stimuli/Bird2.bmp,101,Go,166,"1,5"
stimuli/Bird5.bmp,101,Go,167,"1,5"
stimuli/Cow2.bmp,101,Go,168,"1,5"
stimuli/Elephant4.bmp,101,Go,169,"1,5"
stimuli/Flamingo4.bmp,101,Go,170,"1,5"
stimuli/Fox3.bmp,101,Go,171,"1,5"
stimuli/Gazelle1.bmp,101,Go,172,"1,5"
stimuli/Giraffe4.bmp,101,Go,173,"1,5"
stimuli/Goat2.bmp,101,Go,174,"1,5"
stimuli/Gorilla1.bmp,101,Go,175,"1,5"
stimuli/Koala1.bmp,101,Go,176,"1,5"
stimuli/Lemur1.bmp,101,Go,177,"1,5"
stimuli/Lion2.bmp,101,Go,178,"1,5"
stimuli/Llama2.bmp,101,Go,179,"1,5"
stimuli/Meerkat3.bmp,101,Go,180,"1,5"
stimuli/Nilgila2.bmp,101,Go,181,"1,5"
stimuli/Okapi2.bmp,101,Go,182,"1,5"
stimuli/Panda4.bmp,101,Go,183,"1,5"
stimuli/RedPanda3.bmp,101,Go,184,"1,5"
stimuli/RedPanda7.bmp,101,Go,185,"1,5"
stimuli/Rhino4.bmp,101,Go,186,"1,5"
stimuli/Squirrel4.bmp,101,Go,187,"1,5"
stimuli/Tiger3.bmp,101,Go,188,"1,5"
stimuli/Tortoise1.bmp,101,Go,189,"1,5"
stimuli/Wolf4.bmp,101,Go,190,"1,5"
stimuli/Cheetah4.bmp,101,Go,247,"1,5"
stimuli/Sable1.bmp,101,Go,247,"1,5"
stimuli/PrarieDog2.bmp,101,Go,247,"1,5"
