s1,gonogo,image,imagecode,correct
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang1.bmp,102,NoGo,11,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang2.bmp,102,NoGo,12,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Orang3.bmp,102,NoGo,13,
stimuli/Bear6.bmp,101,Go,137,"1,5"
stimuli/Buffalo2.bmp,101,Go,138,"1,5"
stimuli/Creature5.bmp,101,Go,139,"1,5"
stimuli/Dingo1.bmp,101,Go,140,"1,5"
stimuli/Elephant5.bmp,101,Go,141,"1,5"
stimuli/Giraffe5.bmp,101,Go,142,"1,5"
stimuli/Ibis3.bmp,101,Go,143,"1,5"
stimuli/Kangaroo1.bmp,101,Go,144,"1,5"
stimuli/Koala5.bmp,101,Go,145,"1,5"
stimuli/Lechwe1.bmp,101,Go,146,"1,5"
stimuli/Lemur2.bmp,101,Go,147,"1,5"
stimuli/Leopard2.bmp,101,Go,148,"1,5"
stimuli/Lizard5.bmp,101,Go,149,"1,5"
stimuli/Meerkat4.bmp,101,Go,150,"1,5"
stimuli/Monkey3.bmp,101,Go,151,"1,5"
stimuli/Moose1.bmp,101,Go,152,"1,5"
stimuli/Okapi3.bmp,101,Go,153,"1,5"
stimuli/Onager1.bmp,101,Go,154,"1,5"
stimuli/Orynx2.bmp,101,Go,155,"1,5"
stimuli/Ostrich1.bmp,101,Go,156,"1,5"
stimuli/Peacock1.bmp,101,Go,157,"1,5"
stimuli/PolarBear2.bmp,101,Go,158,"1,5"
stimuli/RedPanda8.bmp,101,Go,159,"1,5"
stimuli/RedPanda12.bmp,101,Go,160,"1,5"
stimuli/Rhino6.bmp,101,Go,161,"1,5"
stimuli/Squirrel3.bmp,101,Go,162,"1,5"
stimuli/WhiteLion1.bmp,101,Go,163,"1,5"
stimuli/Cheetah1.bmp,101,Go,248,"1,5"
stimuli/Lion9.bmp,101,Go,248,"1,5"
stimuli/Creature10.bmp,101,Go,248,"1,5"
